     Created from separation_var program

         Parameter: 

 Bi =         74.3
 Fo =          0.5

   Coordinate step:  100
         Time step:  100

 ------------------------------
                      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005

    1     0.0000 |  20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000 20.0000000
    2     0.2858 |  20.0000035 20.0000031 19.9999888 19.9999974 20.0000365 20.0000143 19.9999963 19.9999967 19.9999981 20.0000077 19.9999987 20.0000210 19.9998910 20.0000046 20.0000037 20.0000021 19.9999986 20.0000081 20.0000163 20.0000212 20.0001856 20.0000018 20.0000039 20.0000016 19.9999926 19.9999859 20.0000629 20.0000046 19.9997476 20.0000009 20.0000098 20.0000183 20.0000236 19.9999418 20.0000048 20.0000068 20.0003312 19.9999937 19.9999866 19.9999837 20.0000049 20.0000985 20.0000024 20.0000028 19.9996147 20.0000306 20.0000338 20.0000182 19.9999242 20.0000366 20.0000528 20.0000569 20.0000982 20.0001723 20.0003046 20.0004869 20.0008887 20.0012422 20.0019357 20.0029850 20.0045637 20.0069175 20.0104215 20.0154382 20.0229829 20.0336837 20.0489094 20.0703517 20.1002412 20.1414807 20.1978305 20.2740827 20.3761758 20.5115464 20.6892610 20.9202558 21.2175120 21.5962279 22.0738406 22.6704842 23.4081084 24.3110614 25.4054026 26.7185461 28.2785891 30.1135754 32.2504843 34.7143357 37.5269824 40.7059531 44.2633326 48.2047081 52.5282597 57.2240417 62.2736685 67.6499656 73.3174538 79.2327929 85.3457759 91.6005542
    3     0.5716 |  20.0000013 20.0000013 19.9999933 19.9999960 19.9999992 19.9999954 20.0000059 20.0000084 20.0000000 20.0000001 20.0000004 20.0000008 20.0000052 20.0000020 19.9999987 19.9999959 20.0000454 19.9999927 20.0000031 20.0000032 20.0000034 20.0000008 20.0000051 20.0000098 20.0000146 20.0000194 20.0000242 20.0000195 20.0000276 20.0000390 20.0000551 20.0000759 20.0001041 20.0001458 20.0002061 20.0002922 20.0004132 20.0006723 20.0008167 20.0011286 20.0015530 20.0021336 20.0029096 20.0039474 20.0053291 20.0071603 20.0095693 20.0127446 20.0168932 20.0222864 20.0292556 20.0382321 20.0497294 20.0643810 20.0829580 20.1063933 20.1358109 20.1725424 20.2182862 20.2746183 20.3440515 20.4290290 20.5325220 20.6579344 20.8091482 20.9905582 21.2071122 21.4643175 21.7682758 22.1256774 22.5438385 23.0306276 23.5944712 24.2442969 24.9894680 25.8396940 26.8049354 27.8952688 29.1207437 30.4912942 32.0161959 33.7045802 35.5645462 37.6032843 39.8268071 42.2397312 44.8450988 47.6441941 50.6363890 53.8190162 57.1872705 60.7341780 64.4505386 68.3249906 72.3440799 76.4923779 80.7526505 85.1060666 89.5324453 94.0105350
    4     0.8574 |  20.0000024 20.0000025 20.0000026 20.0000028 19.9999997 20.0000031 20.0000069 20.0000109 20.0000081 20.0000108 20.0000146 20.0000197 20.0000266 20.0000358 20.0000482 20.0000646 20.0000859 20.0001119 20.0001473 20.0001953 20.0003463 20.0003541 20.0004657 20.0006108 20.0007988 20.0010416 20.0013541 20.0017550 20.0022720 20.0029275 20.0037588 20.0048098 20.0061249 20.0077901 20.0098768 20.0124826 20.0157259 20.0197492 20.0247234 20.0308526 20.0383722 20.0475839 20.0588222 20.0724868 20.0890538 20.1090501 20.1331184 20.1619909 20.1965107 20.2376442 20.2864944 20.3443148 20.4125328 20.4927270 20.5848851 20.6964381 20.8241663 20.9723468 21.1436692 21.3410846 21.5676551 21.8273125 22.1233510 22.4599248 22.8413258 23.2720667 23.7569024 24.3008049 24.9089157 25.5865488 26.3391262 27.1721404 28.0911045 29.1014957 30.2086940 31.4179259 32.7341559 34.1620718 35.7059699 37.3696885 39.1565353 41.0692016 43.1097012 45.2792990 47.5784496 50.0067431 52.5628589 55.2444652 58.0485144 60.9706020 64.0055797 67.1472710 70.3885603 73.7214285 77.1370094 80.6256578 84.1770292 87.7801705 91.4236211 95.0955220
    5     1.1432 |  20.0000787 20.0000813 20.0000891 20.0001028 20.0001251 20.0001517 20.0001874 20.0002341 20.0002946 20.0003720 20.0004744 20.0005991 20.0007556 20.0009512 20.0011951 20.0014982 20.0018740 20.0023379 20.0029122 20.0036184 20.0044846 20.0055444 20.0068379 20.0083385 20.0103207 20.0126381 20.0154390 20.0188158 20.0228765 20.0277477 20.0335761 20.0405307 20.0488115 20.0586456 20.0702950 20.0840600 20.1002838 20.1193616 20.1417287 20.1678923 20.1984200 20.2339501 20.2751983 20.3229647 20.3781431 20.4417174 20.5147837 20.5985480 20.6943356 20.8035969 20.9279108 21.0690041 21.2287340 21.4091076 21.6121644 21.8405612 22.0964060 22.3824233 22.7013634 23.0561318 23.4497568 23.8853966 24.3663242 24.8959134 25.4776234 26.1149748 26.8115375 27.5708999 28.3966436 29.2923155 30.2613966 31.3072737 32.4331869 33.6422209 34.9372509 36.3209086 37.7955452 39.3631977 41.0255447 42.7838784 44.6390694 46.5915365 48.6412190 50.7875528 53.0294505 55.3652855 57.7928787 60.3095053 62.9118746 65.5961490 68.3579533 71.1923918 74.0940697 77.0571229 80.0752522 83.1417619 86.2496047 89.3914293 92.5596328 95.7464156
    6     1.4290 |  20.0010755 20.0010985 20.0011682 20.0012872 20.0014595 20.0016910 20.0019896 20.0023658 20.0028326 20.0034038 20.0040921 20.0049285 20.0059346 20.0071404 20.0085812 20.0102980 20.0123387 20.0147586 20.0176219 20.0210026 20.0249856 20.0296685 20.0351598 20.0415922 20.0491092 20.0578829 20.0680870 20.0799389 20.0936769 20.1095691 20.1279161 20.1490547 20.1733605 20.2012517 20.2331929 20.2696986 20.3113368 20.3587339 20.4125842 20.4736289 20.5426971 20.6206788 20.7085646 20.8074033 20.9183365 21.0425933 21.1814940 21.3364519 21.5089754 21.7006691 21.9132346 22.1484701 22.4082696 22.6946130 23.0095941 23.3553710 23.7341971 24.1483811 24.6003204 25.0924644 25.6273114 26.2073973 26.8352827 27.5135388 28.2447325 29.0314096 29.8760775 30.7811863 31.7491098 32.7821316 33.8823967 35.0519288 36.2925986 37.6060790 38.9938459 40.4571510 41.9970022 43.6141443 45.3090404 47.0818561 48.9324435 50.8603288 52.8647010 54.9444033 57.0979265 59.3234026 61.6186202 63.9809937 66.4076012 68.8951764 71.4401225 74.0385265 76.6861760 79.3785789 82.1109857 84.8784146 87.6756779 90.4974118 93.3381065 96.1921391
    7     1.7148 |  20.0062970 20.0063914 20.0066766 20.0071595 20.0078511 20.0087674 20.0099292 20.0113629 20.0131001 20.0151702 20.0176444 20.0205484 20.0239511 20.0279218 20.0325393 20.0378933 20.0440855 20.0512307 20.0594579 20.0689123 20.0797560 20.0921705 20.1063577 20.1225424 20.1409737 20.1619273 20.1857076 20.2126502 20.2431240 20.2775334 20.3163212 20.3599711 20.4090096 20.4640096 20.5255921 20.5944291 20.6712459 20.7568237 20.8520017 20.9576792 21.0748175 21.2044416 21.3476417 21.5055742 21.6794625 21.8705974 22.0803368 22.3101057 22.5613942 22.8357569 23.1348098 23.4602280 23.8137417 24.1971323 24.6122272 25.0608941 25.5450346 26.0665770 26.6274680 27.2296644 27.8751233 28.5657921 29.3035975 30.0904342 30.9281834 31.8185478 32.7633435 33.7641819 34.8226088 35.9400602 37.1178484 38.3571491 39.6589874 41.0242250 42.4535479 43.9474541 45.5062427 47.1300033 48.8186070 50.5716976 52.3886851 54.2687396 56.2107685 58.2135076 60.2753320 62.3944446 64.5687840 66.7960479 69.0736978 71.3989673 73.7688703 76.1802132 78.6296056 81.1134753 83.6280834 86.1695409 88.7338270 91.3168078 93.9142565 96.5218738
    8     2.0006 |  20.0225136 20.0227634 20.0235168 20.0247863 20.0265928 20.0289658 20.0319438 20.0355744 20.0399151 20.0450332 20.0510081 20.0579331 20.0659062 20.0750455 20.0854813 20.0973595 20.1108422 20.1261091 20.1433590 20.1628108 20.1847051 20.2093057 20.2369011 20.2678061 20.3023636 20.3409457 20.3839587 20.4318352 20.4850483 20.5441019 20.6095501 20.6819753 20.7620049 20.8503092 20.9476031 21.0546467 21.1722473 21.3012596 21.4425871 21.5971823 21.7660473 21.9502337 22.1508424 22.3690231 22.6059735 22.8629339 23.1412019 23.4421064 23.7670245 24.1173585 24.4945582 24.9000993 25.3354841 25.8022361 26.3018954 26.8360125 27.4061421 28.0138369 28.6606401 29.3480782 30.0776529 30.8508329 31.6690458 32.5336730 33.4460236 34.4073519 35.4188270 36.4815405 37.5964781 38.7645233 39.9864457 41.2628914 42.5943752 43.9812723 45.4238108 46.9220648 48.4759476 50.0852066 51.7492140 53.4679824 55.2401225 57.0648798 58.9411116 60.8675024 62.8425408 64.8645452 66.9316550 69.0418368 71.1928897 73.3824516 75.6080062 77.8668917 80.1563096 82.4733354 84.8149293 87.1779485 89.5591593 91.9552507 94.3628481 96.7785277
    9     2.2864 |  20.0589961 20.0595009 20.0610217 20.0635769 20.0671976 20.0719274 20.0778230 20.0849543 20.0934050 20.1032730 20.1146709 20.1277269 20.1425852 20.1594071 20.1783716 20.1996762 20.2235382 20.2501954 20.2799075 20.3129566 20.3496489 20.3903155 20.4353136 20.4850280 20.5398716 20.6002874 20.6667487 20.7397611 20.8198629 20.9076263 21.0036586 21.1086025 21.2231373 21.3479793 21.4838824 21.6316383 21.7920766 21.9660652 22.1545097 22.3583532 22.5785754 22.8161920 23.0722535 23.3519807 23.6440780 23.9621014 24.3030863 24.6682300 25.0587515 25.4758885 25.9208935 26.3950305 26.8995702 27.4357861 28.0049491 28.6083227 29.2471577 29.9226864 30.6361170 31.3886271 32.1813579 33.0154076 33.8918247 34.8116017 35.7756683 36.7848847 37.8400352 38.9418212 40.0908553 41.2876547 42.5326355 43.8261066 45.1682646 46.5591884 47.9988348 49.4870344 51.0234877 52.6077619 54.2392420 55.9173609 57.6411350 59.4096253 61.2217075 63.0761182 64.9714569 66.9061879 68.8786432 70.8870268 72.9294183 75.0037788 77.1079562 79.2396917 81.3966273 83.5763133 85.7762166 87.9937294 90.2261786 92.4708353 94.7249249 96.9856375
   10     2.5722 |  20.1255334 20.1263885 20.1289617 20.1332769 20.1393738 20.1473084 20.1571531 20.1689966 20.1829450 20.1991215 20.2176673 20.2387468 20.2625227 20.2892084 20.3190163 20.3521849 20.3889741 20.4296658 20.4745649 20.5239998 20.5783233 20.6379133 20.7031733 20.7745336 20.8524516 20.9374125 21.0299299 21.1305465 21.2398343 21.3583952 21.4868612 21.6258946 21.7761881 21.9384649 22.1134781 22.3020110 22.5048761 22.7229147 22.9569960 23.2080163 23.4768976 23.7645862 24.0720511 24.4018349 24.7502894 25.1230972 25.5197460 25.9412869 26.3887799 26.8632902 27.3658852 27.8976305 28.4595868 29.0528052 29.6783233 30.3371613 31.0303327 31.7587606 32.5234321 33.3252341 34.1650283 35.0436298 35.9618029 36.9202554 37.9196342 38.9605200 40.0434230 41.1687779 42.3369396 43.5481787 44.8026777 46.1005269 47.4417212 48.8261563 50.2536265 51.7238217 53.2363255 54.7906134 56.3860410 58.0218960 59.6972923 61.4112758 63.1627722 64.9505988 66.7734661 68.6299804 70.5186459 72.4378685 74.3859593 76.3611390 78.3615422 80.3852232 82.4301611 84.4942658 86.5753849 88.6713096 90.7797824 92.8985039 95.0251409 97.1573333
